"Street","City","Postal code"
"nám.Novomeského","Košice","040 01"
"Výstavby","Košice","040 11"
"Moldavská","Košice","040 11"
"TOMÁŠIKOVA","PREŠOV","080 01"
"Hanojská","Košice - Ťahanovce","040 13"
"Pavlovičovo námestie","Prešov","080 01"
"Bukureštská","Košice","040 13"
"Pekingská","Košice","040 13"
"TOLSTÉHO","KOŠICE","040 01"
"Popradská","Košice - Západ","040 11"
"Jenisejská","Košice","040 12"
"Južná trieda","Košice - Staré Mesto","040 01"
"Užhorodská","Košice - Kavečany","040 01"
"Postupimská","Košice","040 22"
"Gerlachovská","Košice","040 01"
"Turgenevova","Košice","040 11"
"Smreková","Prešov","080 01"
"Kavečianska cesta","Košice","040 01"
"Jasuschova","Košice","040 23"
"Čordákova","Košice","040 23"
"Južná trieda","Košice","040 01"
"Drábová","Košice","040 23"
"Ruskov","Ruskov","044 19"
"Bukovecká","Košice-Nad Jazerom","040 12"
"Uralská","Košice","040 12"
"Popradská","Košice - Západ","040 11"
"Ovručská","Košice","040 22"
"Obchodná","Košice","040 01"
"Popradská","Košice","040 01"
"Ruskov","Ruskov","044 19"
"Buzulucka","Košice","040 22"
"Haniska","Košice","044 57"
"Rosná","Košice","040 01"
"Považská","Košice","040 11"
"Lúčna","Košice - Šaca","040 15"
"Dvorníky-Včeláre","Dvorníky","044 02"
"Trieda SNP","Košice","040 11"
"Fintice","Fintice","082 16"
"Zlatá Idka","Zlatá Idka","044 61"
"Dénešová","Košice","040 23"
"Hrabová","Košice","040 22"
"Čordákova","Košice","040 23"
"Becherov","Becherov","086 35"
"Obrancov Mieru","Košice","040 01"
"Sokolovská","Košice","040 11"
"Hroncova","Košice","040 01"
"Slanské Nové Mesto","Slanské Nové Mesto","044 18"
"Štúrova","Batizovce","059 35"
"Šemšianaka","Košice - Šaca","040 15"
"Hruštín","Hruštín","029 52"
"Stálicová","Košice","040 12"
"Sokoľ","Sokoľ","044 31"
"Ladožská","Košice - Nad Jazerom","040 12"
"Mládežnícka","Banská Bystrica","974 04"
"Lomonosovova","Košice","040 01"
"Levočská","Košice I","040 12"
"Trieda SNP","Košice","040 01"
"Pokroku","Košice","040 11"
"Hemerkova","Košice","040 23"
"Veľký Folkmar","Veľký Folkmar","055 51"
"KAPUŠIANSKE KĽAČANY","KAPUŠIANSKE KĽAČANY","079 01"
"Starozagorská","Košice","040 23"
"Wuppertálska","Košice","040 23"
"Námesite L. Novomeského","Košice","040 01"
"Brigádnická","Košice","040 11"
"Nemcovej","Košice","040 01"
"Americká trieda","Košice","040 13"
"DÉNEŠOVA","Košice","040 23"
"Irkutská","Košice","040 12"
"Južná trieda","Košice","040 01"
"Južná trieda","Košice","040 01"
"JENISEJSKÁ","KOŠICE","040 12"
"Sputniková","Košice","040 12"
"Fándlyho","KOŠICE - BARCA","040 17"
"Rosná","Košice - Juh","040 01"
"P. JILEMNICKEHO","SPIŠSKÁ NOVÁ VES","052 05"
"HLINKOVA","KOŠICE","040 01"
"Bidovce","Bidovce","044 45"
"Popradská","Košice","040 11"
"STÁLICOVÁ","KOŠICE","040 12"
"BAUEROVA","KOŠICE","040 23"
"HRNČIARSKA","ROŽŇAVA","048 01"
"OBRODY","KOŠICE","040 11"
"ORECHOVÁ","BARDEJOV  -BARDEJOVSKÁ NOVÁ VES","085 01"
"Slovenskej Jednoty","Košice","040 01"
"REŠICA","REŠICA","044 73"
"LOVECKÁ","KOŠICE-KAVEČANY","040 01"
"čat. Nebiljaka","Svidník","089 01"
"ADLEROVA","KOŠICE","040 22"
"KREMNICKÁ","KOŠICE","040 11"
"BENIAKOVCE","BENIAKOVCE","044 42"
"KOCHANOVSKÁ","SEČOVCE","078 01"
"Federátov","Prešov","080 01"
"Šíd","Šíd","986 01"
"Nová","Mokroluh","086 01"
"Tolstého","Košice","040 01"
"Jaltská","Košice","040 22"
"Mlynská","Stropkov","091 01"
"Nepomuckého","Markušovce","053 21"
"Belehradská","Košice","040 13"
"Hviezdoslavova","Spišské Bystré","059 18"
"Komenského","Bardejov","085 01"
"Tramínová","Košice - Krásna","040 18"
"Armádneho generála Svobodu","Prešov","080 01"
"Hviezdoslavova","Smižany","053 11"
"Za Priekopou","Košice - Myslava","040 16"
"sídlisko Poľana","Humenné","066 01"
"Veľká Ida","Veľká Ida","044 55"
"Exnárova","Prešov","080 01"
"Jarná","Poproč","044 24"
"Nálepková","Smižany","053 11"
"Trieda SNP","Košice - Západ","040 11"
"Seniakovce","Prešov","082 03"
"Ovručská","Košice","040 22"
"Jakobyho","Košice","040 01"
"Jelšová","Košice - Vyšné Opátske","040 01"
"Stará","Hriadky","076 22"
"Dlhá","Margecany","055 01"
"Bidovce","Bidovce","044 45"
"Záhradná","Spišské Vlachy","053 61"
"Němcovej","Košice - Sever","040 01"
"Milhostov","Trebišov","075 01"
"Šafárikova trieda","Košice - Západ","040 11"
"Šarišské Bohdanovce","Šarišské Bohdanovce","082 05"
"Haviarska","Košice","040 01"
"Kalinovská","Košice","040 22"
"Rožňavská","Košice","040 11"
"Starozagorská","Košice","040 23"
"Idanská","Košice","040 11"
"Bzovík","Bzovík","040 00"
"Postupimská","Košice- Dargovských hrdinov","040 22"
"Idanská","Košice - Západ","040 11"
"Trieda SNP","Košice","040 11"
"Turgenevova","Košice","040 01"
"Hokovce","Hokovce","935 84"
"Slobody","Košice","040 11"
"Na Záhumní","Dvorianky","076 62"
"Užhorodská","Košice - Juh","040 01"
"Titogradská","Košice","040 23"
"Hlavná","Kuzmice","076 12"
"Amurská","Košice","040 12"
"Košická Belá","Košická Belá","044 65"
"Slobody","Košice","040 11"
"Ždiarska","Košice","040 12"
"Amurská","Košice - Nad Jazerom","040 12"
"1. decembra","Trebišov","075 01"
"Letná","Košice","040 01"
"Ždiarska","Košice - Nad Jazerom","040 12"
"Milosrdenstva","Košice","040 01"
"Palackého","Košice - Juh","040 01"
"Košické Olšany","Košické Olšany","044 42"
"Haniska","Haniska","044 57"
"Gagarinovo Námestie","Košice","040 12"
"Letná ulica","Dulova Ves - Vlčie Doly","082 52"
"Fatranská","Košice - Západ","040 11"
"Edelényska","Rožňava","048 01"
"Krásna Lúka","Krásna Lúka","082 73"
"Štúrova","Sečovce","078 01"
"Fábryho","Košice","040 22"
"Osikov","Osikov","086 42"
"Európska trieda","Košice","040 13"
"Dénešova","Košice","040 23"
"Jakobyho","Košice","040 01"
"Narcisová","Košice- Západ","040 11"
"Turgenevova","Košice","040 01"
"Ortáše","Ploské","044 44"
"Československej armády","Košice","040 01"
"Kamenárska","Spišská Nová Ves","052 01"
"Floriánska","Košice","040 01"
"Belehradská","Košice","040 13"
"Watsonova","Košice","040 01"
"Slančík","Slančík","044 17"
"Odborárska","Košice","040 01"
"Wuppertálska","Košice","040 23"
"Ovručská","Košice - Dargovských hrdinov","040 22"
"Povrazová","Košice - Myslava","040 16"
"Jakubovanská","Sabinov","083 01"
"Čordáková","Košice","040 23"
"Rastislavova","Košice-Juh","040 01"
"Krakovská","Košice","040 11"
"Mliečna","Košice","040 14"
"K Sudoku","Prešov","080 01"
"Trieda SNP","Košice- Západ","040 11"
"Petzvalova","Spišská Belá","059 01"
"Župčany","Župčany","080 01"
"Krompašská","Košice- Pereš","040 11"
"Šoltésovej","Poprad","058 01"
"Stropkovská","Košice","040 11"
"Galaktická","Košice","040 12"
"Nižná Kamenica","Nižná Kamenica","044 45"
"Májová","Medzilaborce","068 01"
"Krakovská","Košice","040 11"
"Jasuschova","Košice","040 23"
"Uralská","Košice","040 12"
"Varšavská","Košice","040 13"
"Čordákova","Košice","040 23"
"Miškovecká","Košice","040 11"
"Inžinierska","Košice- Západ","040 11"
"Wuppertálska","Košice","040 23"
"Nová","Medzibrod","976 96"
"Ulica Zelená Stráň","Košice - Košická Nová Ves","040 14"
"Dvorkinova","Košice- Dargovských hrdinov","040 22"
"Biele Vody","Mlynky","053 76"
"Prostějovská","Prešov","080 01"
"Levočská","Košice","040 12"
"Lesná","Betliar","049 21"
"Lesnícka","Košice- Západ","040 11"
"Borodáčova","Košice","040 17"
"Lúčna","Vranov nad Topľou","093 01"
"Tokajícka","Košice","040 22"
"Jána Nováka","Prešov","080 01"
"Starozagorská","Košice","040 23"
"Donská","Košice","040 12"
"Tolstého","Košice","040 01"
"Haligovce","Haligovce","065 34"
"Vodárenská","Košice","040 01"
"Bauerova","Košice- Sídlisko KVP","040 23"
"Sadová","Spišská Nová Ves","052 01"
"Wuppertálska","Košice","040 23"
"Lidické Námestie","Košice- Dargovských hrdinov","040 22"
"Bazová","Košice","040 22"
"L. Novomeského","Rimavská Sobota","979 01"
"Jelšová","Košice","040 22"
"Jazmínova","Košice","040 11"
"Mlynčeky","Mlynčeky","059 76"
"Starozagorská","Košice","040 23"
"Košická","Humenné","066 01"
"Lesnícka","Košice","040 11"
"Mlynská","Parchovany","076 62"
"Tokajícka","Košice","040 22"
"Partizánska","Nižná Slaná","049 23"
"Povstania Českého ľudu","Košice","040 22"
"Duklianska","Svidník","089 01"
"Bratislavská","Košice","040 11"
"Bernolákova","Vranov nad Topľou","093 01"
"Jánošíkova","Košice","040 01"
"Klátovská","Nižný Klátov","044 12"
"Rosná","Košice","040 01"
"Národná trieda","Košice","040 01"
"Matuškova","Košice","040 11"
"Okružná","Rožňava","048 01"
"Sv.Cyrila a Metóda","Nový Ruskov - Veľký Ruskov","075 01"
"Wuppertálska","Košice","040 23"
"Petzvalová","Košice","040 11"
"Humenská","Košice","040 11"
"Ploské","Ploské - Ortáše","044 44"
"Húsková","Košice","040 23"
"Úzka","Trstené pri Hornáde","044 11"
"Krivá","Košice","040 01"
"Uherova","Košice","040 11"
"Čsl. Odboja","Košice","040 11"
"Sládkovičova","Košice","040 01"
"Trieda SNP","Košice","040 11"
"Cottbuská","Košice","040 23"
"Helcmanovce","Helcmanovce","055 63"
"Buková","Košice","040 01"
"Dargovská","Prešov","080 01"
"Štúrova","Prešov","080 01"
"Perín","Perín - Chym","044 74"
"Hemerkova","Košice","040 23"
"Hankovce","Hankovce","086 46"
"Ludmanská","Košice","040 01"
"Magurská","Prešov","080 01"
"Idanská","Košice","040 11"
"Starozagorská","Košice","040 23"
"Slovenskej jednoty","Košice","040 01"
"Wuppertálska","Košice","040 23"
"Ostravská","Košice - Juh","040 11"
"Važecká","Prešov","080 05"
"Ardovo","Ardovo","049 55"
"Topoľová","Košice","040 01"
"Bieloruská","Michalovce","071 01"
"Janouškova","Prešov","080 01"
"Fibichova","Košice","040 01"
"Starozagorská","Košice","040 23"
"Berlínska","Košice","040 13"
"Budapeštianska","Košice","040 13"
"Uralská","Košice","040 12"
"Majakovského","Prešov","080 01"
"Karpatská","Prešov","080 01"
"Sibírska","Prešov","080 01"
"Pekinská","Košice","040 13"
"Trebišovská","Zemplínske Hradište","076 01"
"Gorazdova","Spišská Nová Ves","052 01"
"Európska trieda","Košice","040 13"
"Adlerova","Košice","040 22"
"Nižný Kručov","Nižný Kručov","093 01"
"Mirka Nešpora","Prešov","080 01"
"Víťazovce","Lukáčovce","067 24"
"Lorencova","Krompachy","053 42"
"Nad Cirochou","Snina","069 01"
"Ostrov","Ostrov","072 55"
"Karpatská","Košice","040 01"
"Humenská","Košice","040 11"
"Bukovecká","Košice - Nad Jazerom","040 12"
"Čermeľská cesta","Košice","040 01"
"Torysa","Torysa","082 76"
"Inžinierska","Košice","040 11"
"Ruský Hrabovec","Ruský Hrabovec","072 64"
"Veľká Lesná","Veľká Lesná","065 34"
"Bernolákova","Košice","040 11"
"Európska trieda","Košice","040 13"
"Varšavská","Košice","040 13"
"Bernoláková","Košice","040 11"
"SNP","Humenné","066 01"
"Berehovská","Trebišov","075 01"
"Gen.Svobodu","Svidník","089 01"
"Sv. Ladislava","Košice","040 14"
"Čordákova","Košice","040 23"
"Dostojevského","Poprad","058 01"
"M.R.Štefánika","Važec","032 61"
"Tomášikova","Poprad","058 01"
"Sadová","Poprad","058 01"
"Humenská","Košice","040 11"
"Viedenská","Košice","040 13"
"Hrabovec nad Laborcom","Hrabovec nad Laborcom","067 01"
"Jarková","Sačurov","094 13"
"Irkutská","Košice","040 12"
"Cottbuská","Košice","040 23"
"Malogyňovská","Gyňov","044 14"
"Bajzova","Košice","040 01"
"Janigova","Košice","040 23"
"Kladzany","Kladzany","094 21"
"Budimír","Budimír","044 43"
"Komenského","Košice","040 01"
"Turgenevova","Košice","040 01"
"Kisdyho","Košice","040 01"
"Aténska","Košice","040 13"
"Hrhov","Hrhov","049 44"
"Nižný Tvarožec","Nižný Tvarožec","086 02"
"Ďurkov","Ďurkov","044 19"
"Sadova","Sabinov","083 01"
"Starozagorská","Košice","040 23"
"Lemešany","Lemešany","082 03"
"Považská","Košice- Západ","040 11"
"Rokytov","Rokytov","086 01"
"Trieda SNP","Košice","040 11"
"Starozagorská","Košice","040 23"
"Beniakovce","Beniakovce","044 42"
"Sibírska","Prešov","080 01"
"Budimír","Košice","044 43"
"Hlavná","Stropkov","091 01"
"Buzická","Čečejovce","044 71"
"Kasárenské námestie","Košice","040 01"
"Laborecká","Košice - Západ","040 11"
"Tušická Nová Ves","Tušická Nová Ves","072 02"
"Šafárikova trieda","Košice","040 11"
"Sibírska","Prešov","080 01"
"Šoltésovej","Poprad","058 01"
"Štefánikova","Svit","059 21"
"Tolstého","Košice","040 01"
"Peder","Peder","044 05"
"Nový Pizondor","Haniska","044 57"
"Šamborská","Košice","040 01"
"Gerlachovská","Košice","040 01"
"Muškátová","Košice - Západ","040 11"
"Hlavná","Mokrance","045 01"
"Kisdyho","Košice","040 01"
"Čordákova","Košice","040 23"
"Dvorkinova","Košice","040 22"
"Šrobárova","Prešov","080 01"
"Kalinčiakova","Ľubotice","080 06"
"Šarišská","Spišská Nová Ves","052 01"
"Brezová","Malá Ida","044 20"
"Kokošovce","Prešov","082 52"
"Zupkova","Košice - Dargovksých hrdinov","040 22"
"Jarná ulica","Dulova Ves- Vlčie Doly","082 52"
"Roľnícka","Košice","040 01"
"Zupková","Košice","040 22"
"Národná trieda","Košice","040 01"
"Zemplínska","Košice","040 01"
"Važecká","Košice","040 12"
"Park Angelinum","Košice","040 01"
"Stierova","Košice","040 23"
"Wuppertálska","Košice","040 23"
"Koňuš","Koňuš","072 63"
"Wuppertalská","Košice","040 23"
"Poštová","Trebišov","075 01"
"Dukelská","Giraltovce","087 01"
"Alexandra Matušku","Prešov","080 01"
"Pasteurovo","Košice","040 01"
"Němcovej","Košice - Sever","040 01"
"Belehradská","Košice","040 13"
"Sedmák","Drábsko","976 53"
"Čaklov","Čaklov","094 35"
"Široká","Košice","040 01"
"Wurmova","Košice","040 23"
"Wurmova","Košice","040 23"
"Michalovská","Košice","040 11"
"Pekná","Košice","040 01"
"Československej armády","Košice","040 01"
"Benkova","Košice","040 18"
"Okružná","Poprad","058 01"
"Záhradná","Spišské Vlachy","053 61"
"Bauerova","Košice- Sídlisko KVP","040 23"
"Dujavská","Raslavice","086 41"
"Ružová","Košice","040 11"
"Južná trieda","Košice","040 01"
"Hertník","Hertník","086 42"
"Školská","Spišské Bystré","059 18"
"Ladožská","Košice","040 12"
"Aténska","Košice","040 13"
"Toryská","Košice","040 11"
"Húskova","Košice","040 23"
"Aténska","Košice","040 13"
"Staničná","Somotor","076 35"
"Cottbuská","Košice- Sídlisko KVP","040 23"
"Hanojská","Košice","040 13"
"Čučmianska dlhá","Rožňava","048 01"
"Titogradská","Košice","040 23"
"Vydraň","Medzilaborce","068 01"
"Karpatská","Košice","040 01"
"Ovručská","Košice","040 22"
"Strojárska","Snina","069 01"
"Š.Petőfiho","Kráľovský Chlmec","077 01"
"Levočská","Košice","040 12"
"Benadova","Košice","040 22"
"Lipová","Parchovany","076 62"
"Hlinné","Hlinné","094 35"
"Čapajevová","Košice","040 11"
"Uherova","Košice","040 11"
"Slovenského odboja","Poprad","058 01"
"Čingovská","Košice","040 12"
"Baltická","Košice","040 12"
"E.M. Šoltésovej","Spišská Nová Ves","052 01"
"Dénešova","Košice","040 23"
"Pokroku","Košice","040 11"
"Jantárová","Košice","040 01"
"Titogradská","Košice","040 23"
"Petkovce","Petkovce","094 33"
"Ďumbierska","Prešov","080 01"
"Baltická","Košice","040 12"
"Baltická","Košice","040 12"
"Moskovská","Michalovce","071 01"
"Třebíčska","Humenné","066 01"
"Ulič","Ulič","067 67"
"Rastislavová","Hencovce","093 02"
"Húskova","Košice","040 23"
"Súľovská","Košice","040 11"
"Škultétyho","Prešov","080 01"
"Starozagorská","Košice","040 23"
"Gaštanová","Hrčeľ","076 15"
"Dénešova","Košice","040 23"
"Okružná","Rožňava","048 01"
"Čingovská","Košice","040 12"
"Užhorodská","Košice","040 11"
"Záhradná","Jasov","044 23"
"Dolnohorská","Nitra","949 01"
"Krosnianska","Košice","040 22"
"Mierová","Rozhanovce","044 42"
"Čordákova","Košice","040 23"
"Topasová","Košice","040 11"
"Bencúrova","Prešov","080 05"
"Dargovská","Košice","040 01"
"Miškovecká","Košice","040 11"
"Minská","Košice - Krásna","040 18"
"Južná trieda","Košice","040 01"
"Turgenevova","Košice","040 01"
"Športová","Valaliky","044 13"
"Európska trieda","Košice","040 13"
"Sedlice","Sedlice","082 43"
"Buková","Košice","040 14"
"Prešovská","Veľký Šariš","082 21"
"Kpt. Jaroša","Košice","040 22"
"Hviezdoslavova","Sabinov","083 01"
"Exnárova","Košice","040 22"
"J.A. Komenského","Veľké Kapušany","079 01"
"Krosnianska","Košice","040 22"
"Hlavná","Malcov","086 06"
"Azovská","Košice","040 12"
"Blažice","Blažice","044 16"
"Oľšavská","Poproč","044 24"
"Rastislavova","Košice","040 01"
"Lomonosovova","Košice","040 01"
"Plzenská","Prešov","080 01"
"Ďumbierska","Košice","040 01"
"Kurská","Košice","040 22"
"Beniakovce","Beniakovce","044 42"
"Viktora Greschika","Levoča","054 01"
"Povrazová","Košice","040 16"
"Beniakovce","Beniakovce","044 42"
"Poľovnícka","Košice","040 11"
"Lesná","Bardejov - Bardejovská Nová Ves","085 01"
"Severná","Moldava nad Bodvou","045 01"
"Lúčna","Valaliky","044 13"
"SNP","Sečovce","078 01"
"Čordákova","Košice","040 23"
"Hýľov","Hýľov","044 12"
"Južná trieda","Košice","040 01"
"Mierová","Svidník","089 01"
"Varšavská","Košice","040 13"
"Hemerkova","Košice","040 23"
"Byster","Byster","044 41"
"Udavské","Udavské","067 31"
"Havanská","Košice","040 13"
"Abovská","Valaliky - Košťany","044 13"
"Furčianska","Košice","040 14"
"Gazdovská","Košice - Kavečany","040 01"
"Parádna","Slivník","076 12"
"Hniezdne","Hniezdne","065 01"
"Tr. SNP","Košice","040 11"
"Slnečnicová","Malá Ida","044 20"
"Lány","Radoľa","023 36"
"Budovateľská","Vranov nad Topľou","093 01"
"Sv.Anny","Dlhé nad Cirochou","067 82"
"Toryská","Košice","040 11"
"Nová Kelča","Nová Kelča","094 04"
"Koňuš","Koňuš","072 63"
"Lidické námestie","Košice","040 22"
"A. Svianteka","Bardejov","085 01"
"Hlavná","Vyšný Žipov","094 33"
"Titogradská","Košice","040 23"
"Hradišská","Liptovský Mikuláš","031 04"
"Kurská","Košice","040 22"
"Karpatská","Košice","040 01"
"Jantárová","Košice","040 01"
"Alžbetina","Poprad","058 01"
"Štúrovo nábrežie","Spišská Nová Ves","052 01"
"Čaklov","Čaklov","094 35"
"Bezručova","Košice - Krásna","040 18"
"Jakobyho","Košice","040 01"
"Martina Benku","Bardejov","085 01"
"Važecká","Košice - Nad Jazerom","040 12"
